shell_name,rho_fraction,gamma_multiplier,eta_label,eta_SD,eta_SR,eta_RD,branch_found,n_branches,n_points_lower,n_complex_points,hopf_found,hopf_outcome,hopf_L_c,hopf_omega,hopf_dalpha_dL,fold_found,L_fold,min_alpha_complex,max_trace_lower,leading_alpha_max,runtime_seconds,error
Shell_B_800km,0.09736842105263158,26.789473684210527,baseline,1.0,1.0,1.0,True,2,3,2,False,complex_no_crossing,nan,nan,nan,True,25.252525252525253,-0.007983842193636438,-0.037500000000000006,-0.004867049918127766,0.7870767089771107,
Shell_B_800km,0.09736842105263158,29.36842105263158,baseline,1.0,1.0,1.0,True,2,3,2,False,complex_no_crossing,nan,nan,nan,True,25.252525252525253,-0.008016402081105661,-0.037500000000000006,-0.004820549571764277,0.7821434999932535,
Shell_B_800km,0.09736842105263158,31.94736842105263,baseline,1.0,1.0,1.0,True,2,3,2,False,complex_no_crossing,nan,nan,nan,True,25.252525252525253,-0.008085947671502279,-0.037500000000000006,-0.004773360665732312,0.7772670839913189,
Shell_B_800km,0.09736842105263158,34.526315789473685,baseline,1.0,1.0,1.0,True,2,3,2,False,complex_no_crossing,nan,nan,nan,True,25.252525252525253,-0.008223019603760411,-0.037500000000000006,-0.004725450704625664,0.77383641700726,
Shell_B_800km,0.09736842105263158,37.10526315789474,baseline,1.0,1.0,1.0,True,2,3,2,False,complex_no_crossing,nan,nan,nan,True,25.252525252525253,-0.008521336009815639,-0.037500000000000006,-0.004676784425733806,0.7589090830297209,
Shell_B_800km,0.09736842105263158,39.68421052631579,baseline,1.0,1.0,1.0,True,2,2,1,False,complex_no_crossing,nan,nan,nan,True,15.15151515151515,-0.004627323443446701,-0.037500000000000006,-0.004627323443446701,0.7611694170045666,
Shell_B_800km,0.09736842105263158,42.26315789473684,baseline,1.0,1.0,1.0,True,2,2,1,False,complex_no_crossing,nan,nan,nan,True,15.15151515151515,-0.00457702583077519,-0.037500000000000006,-0.00457702583077519,0.7610115410061553,
Shell_B_800km,0.09736842105263158,44.8421052631579,baseline,1.0,1.0,1.0,True,2,2,1,False,complex_no_crossing,nan,nan,nan,True,15.15151515151515,-0.004525845623505852,-0.037500000000000006,-0.004525845623505852,0.7509395419619977,
Shell_B_800km,0.09736842105263158,47.421052631578945,baseline,1.0,1.0,1.0,True,2,2,1,False,complex_no_crossing,nan,nan,nan,True,15.15151515151515,-0.004473732228321351,-0.037500000000000006,-0.004473732228321351,0.7496732910512947,
Shell_B_800km,0.09736842105263158,50.0,baseline,1.0,1.0,1.0,True,2,2,1,False,complex_no_crossing,nan,nan,nan,True,15.15151515151515,-0.004420629710545295,-0.037500000000000006,-0.004420629710545295,0.7948585830163211,
